"MLS Number","Type","Air Conditioning","Apartment YN","List Price","Patio","% Interests In Common Elmts","School Elementary","School High","School Junior","School Middle","Photo Count","Pool Type","Pools Num","Property Type","Prop Type","Rear Yard Vehicle Access YN","Roof Type","Gas Type","Green Building Cert Attached YN","Heating","Lot Size","Navigable YN","Original List Price","Out Building","Approx Living Area","Acres#","Appliance Included","Bounding Streets","Car Storage","Condition","Energy Efficient Features","Exterior","Exterior Features","Fireplace","Foundation","LP/SqFt","Age Desc 1","Cond","Approx Total SqFt","Beds Total","Baths Full","Baths Half","Age","DOM","Car Stor","Sold Price","Sold Date","SP$/SQFT"
"CN152602","SGL","Central","","$199,900","Yes","","","","","","3","","","Residential","RES","","Shingle","","","Central","103.47x169.67","","","","2,003","0.43","CookTop, Disposal, Dishwasher, Microwave, Range/Oven, Trash Masher","","Two, Driveway Only, Garage","","","Brick, Frame, Vinyl Siding","Fence","Wood, Yes","Slab","$99.80","","","2,500","4","2","1","","86","2,DR,GR","$205,500","11/13/2019","$102.60  "
"CN152605","SGL","Central","","$259,000","","","","","","","14","","","Residential","RES","","Shingle","","","Central","79.8x127.62x100x107.42","","","","2,733","0.30","","","Two, Carport","","","","","Yes","","$94.77","","","4,233","4","3","","","267","2,CP","$254,000","07/24/2020","$92.94  "
"CN152598","SGL","Central","","$209,000","Covered","","","","","","16","","","Residential","RES","","Asphalt","","","Central, Gas","100x209x100x207","","","Workshop","2,304","0.48","CookTop, Dishwasher, Microwave, Refrigerator, Range/Oven","","Two, Carport, Driveway Only","","","","Bayou, Fence, Porch","Wood, Yes","Slab","$90.71","","","2,600","3","2","0","","10","2,CP,DR","$205,000","08/16/2019","$88.98  "
"CN156522","SGL","Central","","$82,990","Covered","","","","","","14","","","Residential","RES","","Asphalt","","","Central, Gas","50 x 98.23","","$92,900","Shed","1,243","0.13","Microwave, Range/Oven","","One, Carport, Detached","","Insulation","Frame, Other","Fence","Wood, Yes","Slab","$66.77","","","1,500","3","1","","","500","1,CP,DE","$82,900","11/29/2021","$66.69  "
"CN157989","SGL","Central","","$29,900","","","","","","","2","","","Residential","RES","","Asphalt","","","Central","100x192x100x191","","","","1,768","0.44","","","Attached, Carport","","","","","","","$16.91","","","1,768","3","2","","","80","AT,CP","$23,000","10/22/2020","$13.01  "
"CN157976","SGL","Central","","$120,000","","","","","","","22","","","Residential","RES","","Shingle","","","Central","60x84.15","","","","1,450","0.14","","","","","","Vinyl Siding","","","Raised","$82.76","","","1,013","2","1","","","79","","$120,000","12/18/2020","$82.76  "
"CN158000","SGL","Central","","$199,800","Yes","","","","","","20","","","Residential","RES","","Shingle","","","Central","72 X 166.45","","","Shed","1,953","0.31","Disposal, Dishwasher, Microwave, Range/Oven","","Two, Carport","","","Stucco","Fence, Porch","Wood, Yes","Raised","$102.30","","","2,304","3","2","","","53","2,CP","$190,000","10/28/2020","$97.29  "
"CN157979","TNH","Central","","$109,000","","","","","","","21","","","Residential","RES","","Asphalt","","","Central","119.59x63.22x109.39x62.44","","","","995","0.22","CookTop, Dishwasher, Microwave, Range/Oven","","","","","Vinyl Siding","Fence","","Slab","$109.55","","","1,170","2","2","","","78","","$109,400","01/21/2021","$109.95  "
"CN158003","SGL","Central","","$355,000","Yes","","","","","","20","","","Residential","RES","","Shingle","","","Central","70.82x123.55x79.54x140","","","","2,164","0.30","CookTop, Disposal, Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","Insulation, Windows","","Fence, Porch","Gas, Yes","","$164.05","","","3,338","4","2","1","","67","2,DR,GR","$355,000","11/06/2020","$164.05  "
"CN157999","SGL","Central","","$174,000","Covered","","","","","","14","","","Residential","RES","","Shingle","","","Central","52.15x100","","","","1,328","0.12","CookTop, Dishwasher, Microwave, Range/Oven","","Two, Driveway Only, Garage","","Insulation, Windows","","","","","$131.02","","","1,877","3","2","","","7","2,DR,GR","$174,000","10/13/2020","$131.02  "
