"mls_number"	"property_type"	"air_conditioning"	"appartment_bi"	"patio_bi"	"school_high"	"school_junior"	"school_middle"	"school_general"	"photo_count"	"pool_bi"	"rear_yard_access_bi"	"roof_type"	"roof_type_shingle_bi"	"gas_type"	"out_building_livable_bi"	"out_building_not_livable_bi"	"living_area"	"land_acres"	"appliances_included_bi"	"garage_bi"	"condition"	"energy_efficient_bi"	"exterior_type"	"exterior_features"	"fire_place_bi"	"foundation_type"	"total_area"	"beds_total"	"bath_full"	"bath_half"	"age"	"days_on_market"	"sold_price"	"sold_date"	"sewer_type"	"spa_location"	"stories"	"property_style"	"city_limit_bi"	"subdivision_bi"	"tennis_court_bi"	"termite_contract"	"water_type"	"waterfront_bi"	"post_corona_bi"	"corona_crisis"
"CN163662"	"SGL"	"central"	0	1	0	0	0	0	29	0	0	"shingle"	1	"Natural"	0	0	2457	0.45	1	1	"Other"	0	"other"	"fence"	1	"slab"	2900	4	2	0	34	46	339000	44544	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163658"	"SGL"	"central"	0	1	0	0	0	0	28	0	0	"shingle"	1	"Natural"	0	1	2230	0.25	1	0	"Other"	1	"vinyl"	"fence"	1	"raised"	2480	3	2	0	31	20	180000	44543	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163633"	"PAT"	"central"	0	1	0	0	0	0	33	0	0	"shingle"	1	"Natural"	0	0	1871	0.21	1	1	"Other"	0	"other"	"porch"	1	"other"	2375	3	2	0	35	38	265000	44531	"city"	"None"	1	"Party Wall Double"	1	1	0	"Unknown"	"Public"	1	1	"post"
"CN163631"	"SGL"	"central"	0	1	1	0	1	1	29	0	0	"shingle"	1	"Natural"	0	0	2352	2	1	0	"Other"	0	"vinyl"	"porch"	1	"other"	2362	4	2	0	37	6	165000	44533	"septic"	"None"	1	"Mobile Home"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163625"	"SGL"	"central"	0	0	0	0	0	0	17	0	0	"metal"	0	"Natural"	0	1	1413	0.5	1	0	"Other"	1	"brick"	"none"	0	"slab"	2721	2	2	0	30	1	160000	44533	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163624"	"SGL"	"central"	0	0	0	0	0	0	25	0	0	"other"	0	"Natural"	0	0	1882	1.05	1	0	"Other"	0	"other"	"fence"	1	"other"	1882	3	2	0	31	2	207500	44540	"other"	"None"	1.5	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163612"	"SGL"	"central"	0	0	0	0	0	0	22	0	0	"other"	0	"Natural"	0	1	1234	0.23	1	1	"Other"	1	"other"	"fence"	0	"slab"	1426	3	2	0	30	7	165000	44543	"city"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163593"	"SGL"	"central"	0	0	0	0	0	0	18	0	0	"shingle"	1	"Natural"	0	0	1470	1	0	1	"Other"	0	"brick"	"none"	1	"other"	1703	3	2	0	39	12	130000	44533	"other"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163591"	"SGL"	"central"	0	1	1	0	1	1	23	0	0	"other"	0	"Natural"	0	0	1768	1.67	1	0	"Other"	0	"vinyl"	"fence"	1	"raised"	1850	3	2	0	31	3	220000	44532	"septic"	"None"	1	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
"CN163585"	"SGL"	"central"	0	1	0	0	0	0	19	0	0	"shingle"	1	"Natural"	0	1	2035	0.26	1	0	"Other"	0	"other"	"fence"	1	"slab"	2200	3	3	1	31	16	215000	44540	"city"	"None"	2	"Not Specific"	1	1	0	"Unknown"	"Public"	0	1	"post"
